productCode,productName,total_sold
S18_3232,"1992 Ferrari 360 Spider red",1808
S18_1342,"1937 Lincoln Berline",1111
S700_4002,"American Airlines: MD-11S",1085
S18_3856,"1941 Chevrolet Special Deluxe Cabriolet",1076
S50_1341,"1930 Buick Marquette Phaeton",1074
S18_4600,"1940s Ford truck",1061
S10_1678,"1969 Harley Davidson Ultimate Chopper",1057
S12_4473,"1957 Chevy Pickup",1056
S18_2319,"1964 Mercedes Tour Bus",1053
S24_3856,"1956 Porsche 356A Coupe",1052
S24_3949,"Corsair F4U ( Bird Cage)",1051
S700_3167,"F/A 18 Hornet 1/72",1047
S18_1662,"1980s Black Hawk Helicopter",1040
S18_2949,"1913 Ford Model T Speedster",1038
S24_1578,"1997 BMW R 1100 S",1033
S10_4757,"1972 Alfa Romeo GTA",1030
S24_2300,"1962 Volkswagen Microbus",1029
S12_2823,"2002 Suzuki XREO",1028
S700_2610,"The USS Constitution Ship",1020
S12_1108,"2001 Ferrari Enzo",1019
S24_2000,"1960 BSA Gold Star DBD34",1015
S32_1374,"1997 BMW F650 ST",1014
S18_4721,"1957 Corvette Convertible",1013
S24_2011,"18th century schooner",1011
S24_4278,"1900s Vintage Tri-Plane",1009
S10_2016,"1996 Moto Guzzi 1100i",999
S18_1097,"1940 Ford Pickup Truck",999
S18_2432,"1926 Ford Fire Engine",998
S700_2824,"1982 Camaro Z28",997
S18_4668,"1939 Cadillac Limousine",995
S12_4675,"1969 Dodge Charger",992
S18_3320,"1917 Maxwell Touring Car",992
S50_4713,"2002 Yamaha YZR M1",992
S24_3151,"1912 Ford Model T Delivery Wagon",991
S18_4522,"1904 Buick Runabout",990
S32_3522,"1996 Peterbilt 379 Stake Bed with Outrigger",988
S18_2238,"1998 Chrysler Plymouth Prowler",986
S10_4698,"2003 Harley-Davidson Eagle Drag Bike",985
S18_2957,"1934 Ford V8 Coupe",985
S700_2466,"America West Airlines B757-200",984
S24_2840,"1958 Chevy Corvette Limited Edition",983
S24_4258,"1936 Chrysler Airflow",983
S50_1392,"Diamond T620 Semi-Skirted Tanker",979
S24_1444,"1970 Dodge Coronet",976
S18_3278,"1969 Dodge Super Bee",974
S700_2834,"ATA: B757-300",973
S12_1666,"1958 Setra Bus",972
S18_1889,"1948 Porsche 356-A Roadster",972
S24_1785,"1928 British Royal Navy Airplane",972
S32_4289,"1928 Ford Phaeton Deluxe",972
S24_3371,"1971 Alpine Renault 1600s",969
S18_3029,"1999 Yamaha Speed Boat",966
S50_1514,"1962 City of Detroit Streetcar",966
S12_3891,"1969 Ford Falcon",965
S12_3148,"1969 Corvair Monza",963
S10_1949,"1952 Alpine Renault 1300",961
S18_1367,"1936 Mercedes-Benz 500K Special Roadster",960
S72_1253,"Boeing X-32A JSF",960
S18_3782,"1957 Vespa GS150",959
S72_3212,"Pont Yacht",958
S18_2325,"1932 Model A Ford J-Coupe",957
S24_2022,"1938 Cadillac V-16 Presidential Limousine",955
S32_2509,"1954 Greyhound Scenicruiser",955
S700_3505,"The Titanic",952
S24_2766,"1949 Jaguar XK 120",949
S18_3685,"1948 Porsche Type 356 Roadster",948
S18_1129,"1993 Mazda RX-7",947
S24_2360,"1982 Ducati 900 Monster",947
S18_2625,"1936 Harley Davidson El Knucklehead",945
S18_4027,"1970 Triumph Spitfire",945
S24_4620,"1961 Chevrolet Impala",941
S24_2841,"1900s Vintage Bi-Plane",940
S24_1937,"1939 Chevrolet Deluxe Coupe",937
S32_3207,"1950's Chicago Surface Lines Streetcar",934
S700_1138,"The Schooner Bluenose",934
S12_1099,"1968 Ford Mustang",933
S10_4962,"1962 LanciaA Delta 16V",932
S12_3380,"1968 Dodge Charger",925
S24_3816,"1940 Ford Delivery Sedan",923
S18_1749,"1917 Grand Touring Sedan",918
S18_3259,"Collectable Wooden Train",918
S18_1984,"1995 Honda Civic",917
S18_2581,"P-51-D Mustang",917
S18_3482,"1976 Ford Gran Torino",915
S24_1628,"1966 Shelby Cobra 427 S/C",915
S18_1589,"1965 Aston Martin DB5",914
S24_2972,"1982 Lamborghini Diablo",912
S32_1268,"1980’s GM Manhattan Express",911
S18_3136,"18th Century Vintage Horse Carriage",907
S32_2206,"1982 Ducati 996 R",906
S12_3990,"1970 Plymouth Hemi Cuda",900
S32_4485,"1974 Ducati 350 Mk3 Desmo",898
S700_1938,"The Mayflower",898
S700_2047,"HMS Bounty",897
S700_3962,"The Queen Mary",896
S24_3432,"2002 Chevy Corvette",894
S700_1691,"American Airlines: B767-300",894
S24_3420,"1937 Horch 930V Limousine",884
S18_3140,"1903 Ford Model A",883
S18_2795,"1928 Mercedes-Benz SSK",880
S24_2887,"1952 Citroen-15CV",873
S24_3191,"1969 Chevrolet Camaro Z28",870
S24_4048,"1992 Porsche Cayenne Turbo Silver",867
S18_4409,"1932 Alfa Romeo 8C2300 Spider Sport",866
S18_2870,"1999 Indy 500 Monte Carlo SS",855
S18_2248,"1911 Ford Town Car",832
S24_3969,"1936 Mercedes Benz 500k Roadster",824
S24_1046,"1970 Chevy Chevelle SS 454",803
S18_4933,"1957 Ford Thunderbird",767
