customerNumber,total_orders_sum,total_payments,debt_amount
141,820689.54,715738.98,104950.56
450,143536.27,59551.38,83984.89
382,137480.07,85060.00,52420.07
362,84340.32,33533.47,50806.85
201,106610.72,61167.18,45443.54
448,120943.53,76776.44,44167.09
328,81806.55,38281.51,43525.04
282,133907.12,91655.61,42251.51
119,158573.12,116949.68,41623.44
131,149085.15,107639.94,41445.21
357,94431.76,56662.38,37769.38
386,125505.57,90143.31,35362.26
412,90332.38,66704.94,23627.44
144,66694.82,43680.65,23014.17
496,137460.79,114497.19,22963.60
145,129085.12,107446.50,21638.62
471,55866.02,44920.76,10945.26
314,70851.58,62253.85,8597.73
124,591827.34,584188.24,7639.10
157,104358.69,98509.25,5849.44
166,107746.75,105420.57,2326.18
