customerNumber,last_order_date
211,2003-12-01
347,2004-01-09
489,2004-01-22
475,2004-01-29
473,2004-02-09
487,2004-02-10
171,2004-02-21
239,2004-02-26
146,2004-03-02
344,2004-03-19
177,2004-04-13
495,2004-04-26
455,2004-05-04
173,2004-05-08
260,2004-08-20
299,2004-08-21
298,2004-08-30
167,2004-09-03
249,2004-09-09
204,2004-09-10
415,2004-09-15
189,2004-09-16
484,2004-10-06
256,2004-10-11
286,2004-10-13
339,2004-10-14
319,2004-10-15
259,2004-10-16
227,2004-10-22
202,2004-10-22
240,2004-11-01
458,2004-11-01
456,2004-11-03
363,2004-11-04
128,2004-11-05
181,2004-11-05
121,2004-11-05
278,2004-11-12
131,2004-11-15
385,2004-11-16
187,2004-11-17
486,2004-11-17
129,2004-11-18
144,2004-11-19
172,2004-11-20
424,2004-11-21
216,2004-11-24
103,2004-11-25
114,2004-11-29
112,2004-11-29
151,2004-12-01
324,2004-12-03
198,2004-12-03
447,2004-12-04
161,2005-01-05
350,2005-01-06
334,2005-01-06
320,2005-01-07
381,2005-01-10
205,2005-01-12
379,2005-01-20
311,2005-01-31
333,2005-02-02
219,2005-02-08
186,2005-02-09
321,2005-02-23
148,2005-03-02
462,2005-03-03
448,2005-03-03
276,2005-03-09
452,2005-03-10
250,2005-03-17
242,2005-03-28
353,2005-03-30
496,2005-04-01
328,2005-04-03
406,2005-04-07
323,2005-04-08
201,2005-04-08
209,2005-04-14
145,2005-04-15
450,2005-04-22
398,2005-04-22
166,2005-04-23
357,2005-04-29
233,2005-05-01
175,2005-05-05
362,2005-05-06
471,2005-05-09
386,2005-05-10
412,2005-05-16
382,2005-05-17
282,2005-05-29
124,2005-05-29
314,2005-05-30
157,2005-05-30
141,2005-05-31
119,2005-05-31
