productCode,productName,timesCancelled
S18_3029,"1999 Yamaha Speed Boat",3
S24_3816,"1940 Ford Delivery Sedan",3
S10_4757,"1972 Alfa Romeo GTA",2
S18_1662,"1980s Black Hawk Helicopter",2
S18_3856,"1941 Chevrolet Special Deluxe Cabriolet",2
S24_2011,"18th century schooner",2
S24_2841,"1900s Vintage Bi-Plane",2
S24_3151,"1912 Ford Model T Delivery Wagon",2
S24_3420,"1937 Horch 930V Limousine",2
S700_1138,"The Schooner Bluenose",2
S700_2047,"HMS Bounty",2
S700_2610,"The USS Constitution Ship",2
S700_3505,"The Titanic",2
S700_3962,"The Queen Mary",2
S72_1253,"Boeing X-32A JSF",2
S72_3212,"Pont Yacht",2
S700_3167,"F/A 18 Hornet 1/72",2
S24_1785,"1928 British Royal Navy Airplane",2
S18_3140,"1903 Ford Model A",2
S18_3259,"Collectable Wooden Train",2
S32_4289,"1928 Ford Phaeton Deluxe",2
S50_1341,"1930 Buick Marquette Phaeton",2
S700_1691,"American Airlines: B767-300",2
S700_1938,"The Mayflower",2
S18_2581,"P-51-D Mustang",1
S24_4278,"1900s Vintage Tri-Plane",1
S32_1374,"1997 BMW F650 ST",1
S700_2834,"ATA: B757-300",1
S18_4522,"1904 Buick Runabout",1
S12_1099,"1968 Ford Mustang",1
S12_3380,"1968 Dodge Charger",1
S12_3990,"1970 Plymouth Hemi Cuda",1
S12_4675,"1969 Dodge Charger",1
S18_1129,"1993 Mazda RX-7",1
S18_1589,"1965 Aston Martin DB5",1
S18_1889,"1948 Porsche 356-A Roadster",1
S18_1984,"1995 Honda Civic",1
S18_2870,"1999 Indy 500 Monte Carlo SS",1
S18_3232,"1992 Ferrari 360 Spider red",1
S18_3685,"1948 Porsche Type 356 Roadster",1
S24_2972,"1982 Lamborghini Diablo",1
S24_3371,"1971 Alpine Renault 1600s",1
S24_3856,"1956 Porsche 356A Coupe",1
S12_1108,"2001 Ferrari Enzo",1
S12_3148,"1969 Corvair Monza",1
S12_3891,"1969 Ford Falcon",1
S18_4027,"1970 Triumph Spitfire",1
S24_4048,"1992 Porsche Cayenne Turbo Silver",1
S32_3207,"1950's Chicago Surface Lines Streetcar",1
S50_1514,"1962 City of Detroit Streetcar",1
S24_3949,"Corsair F4U ( Bird Cage)",1
S700_2466,"America West Airlines B757-200",1
S700_4002,"American Airlines: MD-11S",1
