customerNumber,total_orders
141,26
124,17
114,5
353,5
145,5
148,5
323,5
381,4
276,4
119,4
121,4
128,4
131,4
144,4
496,4
151,4
157,4
161,4
166,4
450,4
282,4
398,4
382,4
321,4
103,3
112,3
129,3
167,3
448,3
172,3
452,3
175,3
333,3
181,3
186,3
187,3
458,3
198,3
201,3
462,3
471,3
205,3
209,3
486,3
216,3
233,3
242,3
250,3
278,3
146,3
311,3
314,3
320,3
324,3
328,3
334,3
350,3
357,3
362,3
363,3
379,3
385,3
386,3
406,3
412,3
424,3
447,3
171,2
173,2
177,2
189,2
202,2
204,2
211,2
227,2
319,2
239,2
339,2
344,2
347,2
299,2
256,2
219,2
260,2
259,2
456,2
286,2
298,2
249,2
473,2
475,2
484,2
240,2
487,2
489,2
495,2
455,2
415,1
